epsilon;loss;accuracy
0.0;1.51067;0.68320
0.005;1.62698;0.62780
0.01;1.75009;0.57660
0.015;1.87941;0.52520
0.02;2.01426;0.47570
0.025;2.15398;0.43000
0.03;2.29786;0.38580
0.035;2.44517;0.34780
0.04;2.59518;0.30950
0.045;2.74724;0.27630
0.05;2.90072;0.24230
0.055;3.05496;0.21270
0.06;3.20935;0.18780
0.065;3.36346;0.16600
0.07;3.51676;0.14700
0.075;3.66885;0.12800
0.08;3.81933;0.11280
0.085;3.96793;0.09990
0.09;4.11438;0.08740
0.095;4.25838;0.07620
0.1;4.39974;0.06620
0.105;4.53832;0.05800
0.11;4.67401;0.05020
0.115;4.80661;0.04370
0.12;4.93608;0.03880
0.125;5.06233;0.03410
0.13;5.18528;0.03020
0.135;5.30492;0.02720
0.14;5.42122;0.02520
0.145;5.53416;0.02250
0.15;5.64367;0.02060
0.155;5.74989;0.01840
0.16;5.85283;0.01620
0.165;5.95246;0.01560
0.17;6.04881;0.01440
0.175;6.14197;0.01310
0.18;6.23203;0.01230
0.185;6.31901;0.01150
0.19;6.40296;0.01090
0.195;6.48401;0.01030
0.2;6.56218;0.00890
0.205;6.63746;0.00870
0.21;6.70996;0.00870
0.215;6.77980;0.00830
0.22;6.84705;0.00770
0.225;6.91170;0.00770
0.23;6.97388;0.00740
0.235;7.03368;0.00720
0.24;7.09107;0.00710
0.245;7.14619;0.00690
0.25;7.19909;0.00670
0.255;7.24981;0.00670
0.26;7.29836;0.00670
0.265;7.34488;0.00680
0.27;7.38936;0.00670
0.275;7.43187;0.00660
0.28;7.47248;0.00690
0.285;7.51127;0.00700
0.29;7.54831;0.00690
0.295;7.58357;0.00700
0.3;7.61719;0.00710
0.305;7.64917;0.00700
0.31;7.67957;0.00730
0.315;7.70839;0.00730
0.32;7.73574;0.00770
0.325;7.76165;0.00770
0.33;7.78612;0.00780
0.335;7.80922;0.00780
0.34;7.83107;0.00790
0.345;7.85171;0.00850
0.35;7.87104;0.00860
0.355;7.88916;0.00890
0.36;7.90613;0.00910
0.365;7.92194;0.00920
0.37;7.93661;0.00920
0.375;7.95023;0.00980
0.38;7.96287;0.01000
0.385;7.97446;0.01030
0.39;7.98503;0.01060
0.395;7.99471;0.01060
0.4;8.00349;0.01090
0.405;8.01134;0.01130
0.41;8.01836;0.01160
0.415;8.02457;0.01210
0.42;8.02996;0.01190
0.425;8.03457;0.01270
0.43;8.03849;0.01290
0.435;8.04171;0.01300
0.44;8.04415;0.01370
0.445;8.04588;0.01440
0.45;8.04700;0.01540
0.455;8.04750;0.01580
0.46;8.04735;0.01610
0.465;8.04666;0.01690
0.47;8.04543;0.01760
0.475;8.04365;0.01780
0.48;8.04132;0.01780
0.485;8.03850;0.01840
0.49;8.03527;0.01850
0.495;8.03155;0.01840
0.5;8.02740;0.01880
0.505;8.02282;0.01910
0.51;8.01785;0.01940
0.515;8.01245;0.01980
0.52;8.00672;0.02020
0.525;8.00065;0.02080
0.53;7.99426;0.02170
0.535;7.98756;0.02140
0.54;7.98061;0.02180
0.545;7.97342;0.02220
0.55;7.96597;0.02280
0.555;7.95831;0.02320
0.56;7.95047;0.02340
0.565;7.94245;0.02360
0.57;7.93422;0.02400
0.575;7.92583;0.02420
0.58;7.91731;0.02490
0.585;7.90861;0.02570
0.59;7.89976;0.02620
0.595;7.89081;0.02640
0.6;7.88180;0.02670
0.605;7.87263;0.02700
0.61;7.86334;0.02780
0.615;7.85402;0.02810
0.62;7.84464;0.02870
0.625;7.83523;0.02880
0.63;7.82581;0.02900
0.635;7.81637;0.02900
0.64;7.80690;0.02960
0.645;7.79746;0.03000
0.65;7.78801;0.03050
0.655;7.77857;0.03100
0.66;7.76916;0.03150
0.665;7.75979;0.03200
0.67;7.75049;0.03260
0.675;7.74128;0.03280
0.68;7.73214;0.03310
0.685;7.72306;0.03350
0.69;7.71405;0.03370
0.695;7.70513;0.03420
0.7;7.69632;0.03480
0.705;7.68761;0.03540
0.71;7.67902;0.03580
0.715;7.67056;0.03620
0.72;7.66222;0.03660
0.725;7.65404;0.03680
0.73;7.64600;0.03730
0.735;7.63812;0.03790
0.74;7.63039;0.03790
0.745;7.62283;0.03830
0.75;7.61544;0.03880
0.755;7.60822;0.03920
0.76;7.60113;0.03980
0.765;7.59419;0.04050
0.77;7.58744;0.04090
0.775;7.58085;0.04100
0.78;7.57441;0.04130
0.785;7.56815;0.04160
0.79;7.56207;0.04190
0.795;7.55617;0.04220
0.8;7.55043;0.04250
0.805;7.54490;0.04260
0.81;7.53956;0.04270
0.815;7.53442;0.04310
0.82;7.52949;0.04350
0.825;7.52479;0.04360
0.83;7.52029;0.04400
0.835;7.51597;0.04400
0.84;7.51189;0.04440
0.845;7.50802;0.04510
0.85;7.50436;0.04530
0.855;7.50091;0.04560
0.86;7.49764;0.04580
0.865;7.49453;0.04620
0.87;7.49159;0.04630
0.875;7.48881;0.04620
0.88;7.48622;0.04610
0.885;7.48379;0.04620
0.89;7.48152;0.04630
0.895;7.47940;0.04630
0.9;7.47743;0.04640
0.905;7.47559;0.04660
0.91;7.47391;0.04670
0.915;7.47239;0.04670
0.92;7.47101;0.04670
0.925;7.46974;0.04690
0.93;7.46863;0.04680
0.935;7.46764;0.04670
0.94;7.46677;0.04670
0.945;7.46602;0.04670
0.95;7.46539;0.04670
0.955;7.46485;0.04670
0.96;7.46441;0.04670
0.965;7.46406;0.04680
0.97;7.46378;0.04700
0.975;7.46354;0.04700
0.98;7.46336;0.04700
0.985;7.46325;0.04700
0.99;7.46319;0.04700
0.995;7.46316;0.04700
1.0;7.46314;0.04700
